timestamp,server_id,incoming_requests,active_connections,cpu_usage_percent,memory_usage_percent,network_latency_ms,response_time_ms,server_capacity_weight
01-01-2024 00:00,7,409,126,11.67,42.57,194.65,55.31,3
01-01-2024 00:01,4,567,313,50.2,45.73,290.31,269.75,2
01-01-2024 00:02,8,369,484,75.33,57.86,263.22,511.21,3
01-01-2024 00:03,5,280,281,83.29,30.2,263.16,759.87,5
01-01-2024 00:04,7,995,286,79.74,44.51,212.5,211.37,1
01-01-2024 00:05,10,79,466,45.4,66.46,10.19,155.06,1
01-01-2024 00:06,3,583,391,72.09,45.89,134.94,178.86,4
01-01-2024 00:07,7,970,283,34.47,83,155.78,204.71,3
01-01-2024 00:08,8,205,139,14.72,61.15,253.53,517.89,4
01-01-2024 00:09,5,679,101,67.46,26.53,277.24,798.96,3
01-01-2024 00:10,4,901,392,65.15,51.56,138.21,428.4,3
01-01-2024 00:11,8,984,11,78.14,72.36,93.64,231.72,2
01-01-2024 00:12,8,950,382,62.37,63.25,104.52,602.63,1
01-01-2024 00:13,3,754,216,23.34,81.39,175.71,143.44,5
01-01-2024 00:14,6,448,30,82.52,71.25,86.12,43.41,5
01-01-2024 00:15,5,395,94,63.32,19.62,273.67,492.11,1
01-01-2024 00:16,2,244,116,78.65,23.44,128.5,184.03,4
01-01-2024 00:17,8,217,271,75.8,63.73,297.07,331.41,5
01-01-2024 00:18,6,426,440,35.32,32.88,37.31,200.29,2
01-01-2024 00:19,2,538,291,16.34,59.09,60.42,736.09,2
01-01-2024 00:20,5,800,39,25,74.42,155.92,283.63,2
01-01-2024 00:21,1,411,24,17.89,58.27,261.15,370.28,5
01-01-2024 00:22,10,531,264,30.69,46.16,109.42,203.18,2
01-01-2024 00:23,6,293,43,49.06,63.47,252.05,86.18,2
01-01-2024 00:24,9,630,170,87.08,25.77,130.51,419.79,4
01-01-2024 00:25,1,656,340,84.12,69.24,256.63,697.6,1
01-01-2024 00:26,10,638,169,71.08,67.28,86.84,294.31,5
01-01-2024 00:27,3,220,303,12.05,53.58,144.21,629.16,1
